Year,Award,Winner,Name,Film,POC
1979,Actor in a Supporting Role,,Mickey Rooney,The Black Stallion,0
1979,Actress in a Leading Role,,Jill Clayburgh,Starting Over,0
1979,Actress in a Leading Role,1,Sally Field,Norma Rae,0
1979,Actress in a Leading Role,,Jane Fonda,The China Syndrome,0
1979,Actress in a Leading Role,,Marsha Mason,Chapter Two,0
1979,Actress in a Leading Role,,Bette Midler,The Rose,0
1979,Actress in a Supporting Role,,Jane Alexander,Kramer vs. Kramer,0
1979,Actress in a Supporting Role,,Barbara Barrie,Breaking Away,0
1979,Actress in a Supporting Role,,Candice Bergen,Starting Over,0
1979,Actress in a Supporting Role,,Mariel Hemingway,Manhattan,0
1979,Actress in a Supporting Role,1,Meryl Streep,Kramer vs. Kramer,0
1980,Actor in a Leading Role,1,Robert De Niro,Raging Bull,0
1980,Actor in a Leading Role,,Robert Duvall,The Great Santini,0
1980,Actor in a Leading Role,,John Hurt,The Elephant Man,0
1980,Actor in a Leading Role,,Jack Lemmon,Tribute,0
1980,Actor in a Leading Role,,Peter O'Toole,The Stunt Man,0
1980,Actor in a Supporting Role,,Judd Hirsch,Ordinary People,0
1980,Actor in a Supporting Role,1,Timothy Hutton,Ordinary People,0
1980,Actor in a Supporting Role,,Michael O'Keefe,The Great Santini,0
1980,Actor in a Supporting Role,,Joe Pesci,Raging Bull,0
1980,Actor in a Supporting Role,,Jason Robards,Melvin and Howard,0
1980,Actress in a Leading Role,,Ellen Burstyn,Resurrection,0
1980,Actress in a Leading Role,,Goldie Hawn,Private Benjamin,0
1980,Actress in a Leading Role,,Mary Tyler Moore,Ordinary People,0
1980,Actress in a Leading Role,,Gena Rowlands,Gloria,0
1980,Actress in a Leading Role,1,Sissy Spacek,Coal Miner's Daughter,0
1980,Actress in a Supporting Role,,Eileen Brennan,Private Benjamin,0
1980,Actress in a Supporting Role,,Eva Le Gallienne,Resurrection,0
1980,Actress in a Supporting Role,,Cathy Moriarty,Raging Bull,0
1980,Actress in a Supporting Role,,Diana Scarwid,Inside Moves,0
1980,Actress in a Supporting Role,1,Mary Steenburgen,Melvin and Howard,0
1981,Actor in a Leading Role,,Warren Beatty,Reds,0
1981,Actor in a Leading Role,1,Henry Fonda,On Golden Pond,0
1981,Actor in a Leading Role,,Burt Lancaster,Atlantic City,0
1981,Actor in a Leading Role,,Dudley Moore,Arthur,0
1981,Actor in a Leading Role,,Paul Newman,Absence of Malice,0
1981,Actor in a Supporting Role,,James Coco,Only When I Laugh,0
1981,Actor in a Supporting Role,1,John Gielgud,Arthur,0
1981,Actor in a Supporting Role,,Ian Holm,Chariots of Fire,0
1981,Actor in a Supporting Role,,Jack Nicholson,Reds,0
1981,Actor in a Supporting Role,,"Howard E. Rollins, Jr.",Ragtime,1
1981,Actress in a Leading Role,1,Katharine Hepburn,On Golden Pond,0
1981,Actress in a Leading Role,,Diane Keaton,Reds,0
1981,Actress in a Leading Role,,Marsha Mason,Only When I Laugh,0
1981,Actress in a Leading Role,,Susan Sarandon,Atlantic City,0
1981,Actress in a Leading Role,,Meryl Streep,The French Lieutenant's Woman,0
1981,Actress in a Supporting Role,,Melinda Dillon,Absence of Malice,0
1981,Actress in a Supporting Role,,Jane Fonda,On Golden Pond,0
1981,Actress in a Supporting Role,,Joan Hackett,Only When I Laugh,0
1981,Actress in a Supporting Role,,Elizabeth McGovern,Ragtime,0
1981,Actress in a Supporting Role,1,Maureen Stapleton,Reds,0
1982,Actor in a Leading Role,,Dustin Hoffman,Tootsie,0
1982,Actor in a Leading Role,1,Ben Kingsley,Gandhi,1
1982,Actor in a Leading Role,,Jack Lemmon,Missing,0
1982,Actor in a Leading Role,,Paul Newman,The Verdict,0
1982,Actor in a Leading Role,,Peter O'Toole,My Favorite Year,0
1982,Actor in a Supporting Role,,Charles Durning,The Best Little Whorehouse in Texas,0
1982,Actor in a Supporting Role,1,"Louis Gossett, Jr.",An Officer and a Gentleman,1
1982,Actor in a Supporting Role,,John Lithgow,The World According to Garp,0
1982,Actor in a Supporting Role,,James Mason,The Verdict,0
1982,Actor in a Supporting Role,,Robert Preston,Victor/Victoria,0
1982,Actress in a Leading Role,,Julie Andrews,Victor/Victoria,0
1982,Actress in a Leading Role,,Jessica Lange,Frances,0
1982,Actress in a Leading Role,,Sissy Spacek,Missing,0
1982,Actress in a Leading Role,1,Meryl Streep,Sophie's Choice,0
1982,Actress in a Leading Role,,Debra Winger,An Officer and a Gentleman,0
1982,Actress in a Supporting Role,,Glenn Close,The World According to Garp,0
1982,Actress in a Supporting Role,,Teri Garr,Tootsie,0
1982,Actress in a Supporting Role,1,Jessica Lange,Tootsie,0
1982,Actress in a Supporting Role,,Kim Stanley,Frances,0
1982,Actress in a Supporting Role,,Lesley Ann Warren,Victor/Victoria,0
1983,Actor in a Leading Role,,Michael Caine,Educating Rita,0
1983,Actor in a Leading Role,,Tom Conti,"Reuben, Reuben",0
1983,Actor in a Leading Role,,Tom Courtenay,The Dresser,0
1983,Actor in a Leading Role,1,Robert Duvall,Tender Mercies,0
1983,Actor in a Leading Role,,Albert Finney,The Dresser,0
1983,Actor in a Supporting Role,,Charles Durning,To Be or Not to Be,0
1983,Actor in a Supporting Role,,John Lithgow,Terms of Endearment,0
1983,Actor in a Supporting Role,1,Jack Nicholson,Terms of Endearment,0
1983,Actor in a Supporting Role,,Sam Shepard,The Right Stuff,0
1983,Actor in a Supporting Role,,Rip Torn,Cross Creek,0
1983,Actress in a Leading Role,,Jane Alexander,Testament,0
1983,Actress in a Leading Role,1,Shirley MacLaine,Terms of Endearment,0
1983,Actress in a Leading Role,,Meryl Streep,Silkwood,0
1983,Actress in a Leading Role,,Julie Walters,Educating Rita,0
1983,Actress in a Leading Role,,Debra Winger,Terms of Endearment,0
1983,Actress in a Supporting Role,,Cher,Silkwood,0
1983,Actress in a Supporting Role,,Glenn Close,The Big Chill,0
1983,Actress in a Supporting Role,1,Linda Hunt,The Year of Living Dangerously,0
1983,Actress in a Supporting Role,,Amy Irving,Yentl,0
1983,Actress in a Supporting Role,,Alfre Woodard,Cross Creek,1
1984,Actor in a Leading Role,1,F. Murray Abraham,Amadeus,0
1984,Actor in a Leading Role,,Jeff Bridges,Starman,0
1984,Actor in a Leading Role,,Albert Finney,Under the Volcano,0
1984,Actor in a Leading Role,,Tom Hulce,Amadeus,0
1984,Actor in a Leading Role,,Sam Waterston,The Killing Fields,0
1984,Actor in a Supporting Role,,Adolph Caesar,A Soldier's Story,1
1984,Actor in a Supporting Role,,John Malkovich,Places in the Heart,0
1984,Actor in a Supporting Role,,Noriyuki 'Pat' Morita,The Karate Kid,1
1984,Actor in a Supporting Role,1,Haing S. Ngor,The Killing Fields,1
1984,Actor in a Supporting Role,,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes",0
1984,Actress in a Leading Role,,Judy Davis,A Passage to India,0
1984,Actress in a Leading Role,1,Sally Field,Places in the Heart,0
1984,Actress in a Leading Role,,Jessica Lange,Country,0
1984,Actress in a Leading Role,,Vanessa Redgrave,The Bostonians,0
1984,Actress in a Leading Role,,Sissy Spacek,The River,0
1984,Actress in a Supporting Role,1,Peggy Ashcroft,A Passage to India,0
1984,Actress in a Supporting Role,,Glenn Close,The Natural,0
1984,Actress in a Supporting Role,,Lindsay Crouse,Places in the Heart,0
1984,Actress in a Supporting Role,,Christine Lahti,Swing Shift,0
1984,Actress in a Supporting Role,,Geraldine Page,The Pope of Greenwich Village,0
1985,Actor in a Leading Role,,Harrison Ford,Witness,0
1985,Actor in a Leading Role,,James Garner,Murphy's Romance,0
1985,Actor in a Leading Role,1,William Hurt,Kiss of the Spider Woman,0
1985,Actor in a Leading Role,,Jack Nicholson,Prizzi's Honor,0
1985,Actor in a Leading Role,,Jon Voight,Runaway Train,0
1985,Actor in a Supporting Role,1,Don Ameche,Cocoon,0
1985,Actor in a Supporting Role,,Klaus Maria Brandauer,Out of Africa,0
1985,Actor in a Supporting Role,,William Hickey,Prizzi's Honor,0
1985,Actor in a Supporting Role,,Robert Loggia,Jagged Edge,0
1985,Actor in a Supporting Role,,Eric Roberts,Runaway Train,0
1985,Actress in a Leading Role,,Anne Bancroft,Agnes of God,0
1985,Actress in a Leading Role,,Whoopi Goldberg,The Color Purple,1
1985,Actress in a Leading Role,,Jessica Lange,Sweet Dreams,0
1985,Actress in a Leading Role,1,Geraldine Page,The Trip to Bountiful,0
1985,Actress in a Leading Role,,Meryl Streep,Out of Africa,0
1985,Actress in a Supporting Role,,Margaret Avery,The Color Purple,1
1985,Actress in a Supporting Role,1,Anjelica Huston,Prizzi's Honor,0
1985,Actress in a Supporting Role,,Amy Madigan,Twice in a Lifetime,0
1985,Actress in a Supporting Role,,Meg Tilly,Agnes of God,1
1985,Actress in a Supporting Role,,Oprah Winfrey,The Color Purple,1
1986,Actor in a Leading Role,,Dexter Gordon,'Round Midnight,1
1986,Actor in a Leading Role,,Bob Hoskins,Mona Lisa,0
1986,Actor in a Leading Role,,William Hurt,Children of a Lesser God,0
1986,Actor in a Leading Role,1,Paul Newman,The Color of Money,0
1986,Actor in a Leading Role,,James Woods,Salvador,0
1986,Actor in a Supporting Role,,Tom Berenger,Platoon,0
1986,Actor in a Supporting Role,1,Michael Caine,Hannah and Her Sisters,0
1986,Actor in a Supporting Role,,Willem Dafoe,Platoon,0
1986,Actor in a Supporting Role,,Denholm Elliott,A Room with a View,0
1986,Actor in a Supporting Role,,Dennis Hopper,Hoosiers,0
1986,Actress in a Leading Role,,Jane Fonda,The Morning After,0
1986,Actress in a Leading Role,1,Marlee Matlin,Children of a Lesser God,0
1986,Actress in a Leading Role,,Sissy Spacek,Crimes of the Heart,0
1986,Actress in a Leading Role,,Kathleen Turner,Peggy Sue Got Married,0
1986,Actress in a Leading Role,,Sigourney Weaver,Aliens,0
1986,Actress in a Supporting Role,,Tess Harper,Crimes of the Heart,0
1986,Actress in a Supporting Role,,Piper Laurie,Children of a Lesser God,0
1986,Actress in a Supporting Role,,Mary Elizabeth Mastrantonio,The Color of Money,0
1986,Actress in a Supporting Role,,Maggie Smith,A Room with a View,0
1986,Actress in a Supporting Role,1,Dianne Wiest,Hannah and Her Sisters,0
1987,Actor in a Leading Role,1,Michael Douglas,Wall Street,0
1987,Actor in a Leading Role,,William Hurt,Broadcast News,0
1987,Actor in a Leading Role,,Marcello Mastroianni,Dark Eyes,0
1987,Actor in a Leading Role,,Jack Nicholson,Ironweed,0
1987,Actor in a Leading Role,,Robin Williams,"Good Morning, Vietnam",0
1987,Actor in a Supporting Role,,Albert Brooks,Broadcast News,0
1987,Actor in a Supporting Role,1,Sean Connery,The Untouchables,0
1987,Actor in a Supporting Role,,Morgan Freeman,Street Smart,1
1987,Actor in a Supporting Role,,Vincent Gardenia,Moonstruck,0
1987,Actor in a Supporting Role,,Denzel Washington,Cry Freedom,1
1987,Actress in a Leading Role,1,Cher,Moonstruck,0
1987,Actress in a Leading Role,,Glenn Close,Fatal Attraction,0
1987,Actress in a Leading Role,,Holly Hunter,Broadcast News,0
1987,Actress in a Leading Role,,Sally Kirkland,Anna,0
1987,Actress in a Leading Role,,Meryl Streep,Ironweed,0
1987,Actress in a Supporting Role,,Norma Aleandro,Gaby - A True Story,1
1987,Actress in a Supporting Role,,Anne Archer,Fatal Attraction,0
1987,Actress in a Supporting Role,1,Olympia Dukakis,Moonstruck,0
1987,Actress in a Supporting Role,,Anne Ramsey,Throw Momma from the Train,0
1987,Actress in a Supporting Role,,Ann Sothern,The Whales of August,0
1988,Actor in a Leading Role,,Gene Hackman,Mississippi Burning,0
1988,Actor in a Leading Role,,Tom Hanks,Big,0
1988,Actor in a Leading Role,1,Dustin Hoffman,Rain Man,0
1988,Actor in a Leading Role,,Edward James Olmos,Stand and Deliver,1
1988,Actor in a Leading Role,,Max von Sydow,Pelle the Conqueror,0
1988,Actor in a Supporting Role,,Alec Guinness,Little Dorrit,0
1988,Actor in a Supporting Role,1,Kevin Kline,A Fish Called Wanda,0
1988,Actor in a Supporting Role,,Martin Landau,Tucker The Man and His Dream,0
1988,Actor in a Supporting Role,,River Phoenix,Running on Empty,0
1988,Actor in a Supporting Role,,Dean Stockwell,Married to the Mob,0
1988,Actress in a Leading Role,,Glenn Close,Dangerous Liaisons,0
1988,Actress in a Leading Role,1,Jodie Foster,The Accused,0
1988,Actress in a Leading Role,,Melanie Griffith,Working Girl,0
1988,Actress in a Leading Role,,Meryl Streep,A Cry in the Dark,0
1988,Actress in a Leading Role,,Sigourney Weaver,Gorillas in the Mist,0
1988,Actress in a Supporting Role,,Joan Cusack,Working Girl,0
1988,Actress in a Supporting Role,1,Geena Davis,The Accidental Tourist,0
1988,Actress in a Supporting Role,,Frances McDormand,Mississippi Burning,0
1988,Actress in a Supporting Role,,Michelle Pfeiffer,Dangerous Liaisons,0
1988,Actress in a Supporting Role,,Sigourney Weaver,Working Girl,0
1989,Actor in a Leading Role,,Kenneth Branagh,Henry V,0
1989,Actor in a Leading Role,,Tom Cruise,Born on the Fourth of July,0
1989,Actor in a Leading Role,1,Daniel Day Lewis,My Left Foot,0
1989,Actor in a Leading Role,,Morgan Freeman,Driving Miss Daisy,1
1989,Actor in a Leading Role,,Robin Williams,Dead Poets Society,0
1989,Actor in a Supporting Role,,Danny Aiello,Do the Right Thing,0
1989,Actor in a Supporting Role,,Dan Aykroyd,Driving Miss Daisy,0
1989,Actor in a Supporting Role,,Marlon Brando,A Dry White Season,0
1989,Actor in a Supporting Role,,Martin Landau,Crimes and Misdemeanors,0
1989,Actor in a Supporting Role,1,Denzel Washington,Glory,1
1989,Actress in a Leading Role,,Isabelle Adjani,Camille Claudel,1
1989,Actress in a Leading Role,,Pauline Collins,Shirley Valentine,0
1989,Actress in a Leading Role,,Jessica Lange,Music Box,0
1989,Actress in a Leading Role,,Michelle Pfeiffer,The Fabulous Baker Boys,0
1989,Actress in a Leading Role,1,Jessica Tandy,Driving Miss Daisy,0
1989,Actress in a Supporting Role,1,Brenda Fricker,My Left Foot,0
1989,Actress in a Supporting Role,,Anjelica Huston,"Enemies, A Love Story",0
1989,Actress in a Supporting Role,,Lena Olin,"Enemies, A Love Story",0
1989,Actress in a Supporting Role,,Julia Roberts,Steel Magnolias,0
1989,Actress in a Supporting Role,,Dianne Wiest,Parenthood,0
1990,Actor in a Leading Role,,Kevin Costner,Dances With Wolves,0
1990,Actor in a Leading Role,,Robert De Niro,Awakenings,0
1990,Actor in a Leading Role,,Gerard Depardieu,Cyrano de Bergerac,0
1990,Actor in a Leading Role,,Richard Harris,The Field,0
1990,Actor in a Leading Role,1,Jeremy Irons,Reversal of Fortune,0
1990,Actor in a Supporting Role,,Bruce Davison,Longtime Companion,0
1990,Actor in a Supporting Role,,Andy Garcia,"The Godfather, Part III",1
1990,Actor in a Supporting Role,,Graham Greene,Dances With Wolves,0
1990,Actor in a Supporting Role,,Al Pacino,Dick Tracy,0
1990,Actor in a Supporting Role,1,Joe Pesci,Good Fellas,0
1990,Actress in a Leading Role,1,Kathy Bates,Misery,0
1990,Actress in a Leading Role,,Anjelica Huston,The Grifters,0
1990,Actress in a Leading Role,,Julia Roberts,Pretty Woman,0
1990,Actress in a Leading Role,,Meryl Streep,Postcards from the Edge,0
1990,Actress in a Leading Role,,Joanne Woodward,Mr. & Mrs. Bridge,0
1990,Actress in a Supporting Role,,Annette Bening,The Grifters,0
1990,Actress in a Supporting Role,,Lorraine Bracco,Good Fellas,0
1990,Actress in a Supporting Role,1,Whoopi Goldberg,Ghost,1
1990,Actress in a Supporting Role,,Diane Ladd,Wild at Heart,0
1990,Actress in a Supporting Role,,Mary McDonnell,Dances With Wolves,0
1991,Actor in a Leading Role,,Warren Beatty,Bugsy,0
1991,Actor in a Leading Role,,Robert De Niro,Cape Fear,0
1991,Actor in a Leading Role,1,Anthony Hopkins,The Silence of the Lambs,0
1991,Actor in a Leading Role,,Nick Nolte,The Prince of Tides,0
1991,Actor in a Leading Role,,Robin Williams,The Fisher King,0
1991,Actor in a Supporting Role,,Tommy Lee Jones,JFK,0
1991,Actor in a Supporting Role,,Harvey Keitel,Bugsy,0
1991,Actor in a Supporting Role,,Ben Kingsley,Bugsy,1
1991,Actor in a Supporting Role,,Michael Lerner,Barton Fink,0
1991,Actor in a Supporting Role,1,Jack Palance,City Slickers,0
1991,Actress in a Leading Role,,Geena Davis,Thelma & Louise,0
1991,Actress in a Leading Role,,Laura Dern,Rambling Rose,0
1991,Actress in a Leading Role,1,Jodie Foster,The Silence of the Lambs,0
1991,Actress in a Leading Role,,Bette Midler,For the Boys,0
1991,Actress in a Leading Role,,Susan Sarandon,Thelma & Louise,0
1991,Actress in a Supporting Role,,Diane Ladd,Rambling Rose,0
1991,Actress in a Supporting Role,,Juliette Lewis,Cape Fear,0
1991,Actress in a Supporting Role,,Kate Nelligan,The Prince of Tides,0
1991,Actress in a Supporting Role,1,Mercedes Ruehl,The Fisher King,0
1991,Actress in a Supporting Role,,Jessica Tandy,Fried Green Tomatoes,0
1992,Actor in a Leading Role,,Robert Downey Jr.,Chaplin,0
1992,Actor in a Leading Role,,Clint Eastwood,Unforgiven,0
1992,Actor in a Leading Role,1,Al Pacino,Scent of a Woman,0
1992,Actor in a Leading Role,,Stephen Rea,The Crying Game,0
1992,Actor in a Leading Role,,Denzel Washington,Malcolm X,1
1992,Actor in a Supporting Role,,Jaye Davidson,The Crying Game,1
1992,Actor in a Supporting Role,1,Gene Hackman,Unforgiven,0
1992,Actor in a Supporting Role,,Jack Nicholson,A Few Good Men,0
1992,Actor in a Supporting Role,,Al Pacino,Glengarry Glen Ross,0
1992,Actor in a Supporting Role,,David Paymer,Mr. Saturday Night,0
1992,Actress in a Leading Role,,Catherine Deneuve,Indochine,0
1992,Actress in a Leading Role,,Mary McDonnell,Passion Fish,0
1992,Actress in a Leading Role,,Michelle Pfeiffer,Love Field,0
1992,Actress in a Leading Role,,Susan Sarandon,Lorenzo's Oil,0
1992,Actress in a Leading Role,1,Emma Thompson,Howards End,0
1992,Actress in a Supporting Role,,Judy Davis,Husbands and Wives,0
1992,Actress in a Supporting Role,,Joan Plowright,Enchanted April,0
1992,Actress in a Supporting Role,,Vanessa Redgrave,Howards End,0
1992,Actress in a Supporting Role,,Miranda Richardson,Damage,0
1992,Actress in a Supporting Role,1,Marisa Tomei,My Cousin Vinny,0
1993,Actor in a Leading Role,,Daniel Day-Lewis,In the Name of the Father,0
1993,Actor in a Leading Role,,Laurence Fishburne,What's Love Got to Do with It,1
1993,Actor in a Leading Role,1,Tom Hanks,Philadelphia,0
1993,Actor in a Leading Role,,Anthony Hopkins,The Remains of the Day,0
1993,Actor in a Leading Role,,Liam Neeson,Schindler's List,0
1993,Actor in a Supporting Role,,Leonardo DiCaprio,What's Eating Gilbert Grape,0
1993,Actor in a Supporting Role,,Ralph Fiennes,Schindler's List,0
1993,Actor in a Supporting Role,1,Tommy Lee Jones,The Fugitive,0
1993,Actor in a Supporting Role,,John Malkovich,In the Line of Fire,0
1993,Actor in a Supporting Role,,Pete Postlethwaite,In the Name of the Father,0
1993,Actress in a Leading Role,,Angela Bassett,What's Love Got to Do with It,1
1993,Actress in a Leading Role,,Stockard Channing,Six Degrees of Separation,0
1993,Actress in a Leading Role,1,Holly Hunter,The Piano,0
1993,Actress in a Leading Role,,Emma Thompson,The Remains of the Day,0
1993,Actress in a Leading Role,,Debra Winger,Shadowlands,0
1993,Actress in a Supporting Role,,Holly Hunter,The Firm,0
1993,Actress in a Supporting Role,1,Anna Paquin,The Piano,0
1993,Actress in a Supporting Role,,Rosie Perez,Fearless,1
1993,Actress in a Supporting Role,,Winona Ryder,The Age of Innocence,0
1993,Actress in a Supporting Role,,Emma Thompson,In the Name of the Father,0
1994,Actor in a Leading Role,,Morgan Freeman,The Shawshank Redemption,1
1994,Actor in a Leading Role,1,Tom Hanks,Forrest Gump,0
1994,Actor in a Leading Role,,Nigel Hawthorne,The Madness of King George,0
1994,Actor in a Leading Role,,Paul Newman,Nobody's Fool,0
1994,Actor in a Leading Role,,John Travolta,Pulp Fiction,0
1994,Actor in a Supporting Role,,Samuel L. Jackson,Pulp Fiction,1
1994,Actor in a Supporting Role,1,Martin Landau,Ed Wood,0
1994,Actor in a Supporting Role,,Chazz Palminteri,Bullets over Broadway,0
1994,Actor in a Supporting Role,,Paul Scofield,Quiz Show,0
1994,Actor in a Supporting Role,,Gary Sinise,Forrest Gump,0
1994,Actress in a Leading Role,,Jodie Foster,Nell,0
1994,Actress in a Leading Role,1,Jessica Lange,Blue Sky,0
1994,Actress in a Leading Role,,Miranda Richardson,Tom & Viv,0
1994,Actress in a Leading Role,,Winona Ryder,Little Women,0
1994,Actress in a Leading Role,,Susan Sarandon,The Client,0
1994,Actress in a Supporting Role,,Rosemary Harris,Tom & Viv,0
1994,Actress in a Supporting Role,,Helen Mirren,The Madness of King George,0
1994,Actress in a Supporting Role,,Uma Thurman,Pulp Fiction,0
1994,Actress in a Supporting Role,,Jennifer Tilly,Bullets over Broadway,1
1994,Actress in a Supporting Role,1,Dianne Wiest,Bullets over Broadway,0
1995,Actor in a Leading Role,1,Nicolas Cage,Leaving Las Vegas,0
1995,Actor in a Leading Role,,Richard Dreyfuss,Mr. Holland's Opus,0
1995,Actor in a Leading Role,,Anthony Hopkins,Nixon,0
1995,Actor in a Leading Role,,Sean Penn,Dead Man Walking,0
1995,Actor in a Leading Role,,Massimo Troisi,The Postman (Il Postino),0
1995,Actor in a Supporting Role,,James Cromwell,Babe,0
1995,Actor in a Supporting Role,,Ed Harris,Apollo 13,0
1995,Actor in a Supporting Role,,Brad Pitt,12 Monkeys,0
1995,Actor in a Supporting Role,,Tim Roth,Rob Roy,0
1995,Actor in a Supporting Role,1,Kevin Spacey,The Usual Suspects,0
1995,Actress in a Leading Role,1,Susan Sarandon,Dead Man Walking,0
1995,Actress in a Leading Role,,Elisabeth Shue,Leaving Las Vegas,0
1995,Actress in a Leading Role,,Sharon Stone,Casino,0
1995,Actress in a Leading Role,,Meryl Streep,The Bridges of Madison County,0
1995,Actress in a Leading Role,,Emma Thompson,Sense and Sensibility,0
1995,Actress in a Supporting Role,,Joan Allen,Nixon,0
1995,Actress in a Supporting Role,,Kathleen Quinlan,Apollo 13,0
1995,Actress in a Supporting Role,1,Mira Sorvino,Mighty Aphrodite,0
1995,Actress in a Supporting Role,,Mare Winningham,Georgia,0
1995,Actress in a Supporting Role,,Kate Winslet,Sense and Sensibility,0
1996,Actor in a Leading Role,,Tom Cruise,Jerry Maguire,0
1996,Actor in a Leading Role,,Ralph Fiennes,The English Patient,0
1996,Actor in a Leading Role,,Woody Harrelson,The People vs. Larry Flynt,0
1996,Actor in a Leading Role,1,Geoffrey Rush,Shine,0
1996,Actor in a Leading Role,,Billy Bob Thornton,Sling Blade,0
1996,Actor in a Supporting Role,1,"Cuba Gooding, Jr.",Jerry Maguire,1
1996,Actor in a Supporting Role,,William H. Macy,Fargo,0
1996,Actor in a Supporting Role,,Armin Mueller-Stahl,Shine,0
1996,Actor in a Supporting Role,,Edward Norton,Primal Fear,0
1996,Actor in a Supporting Role,,James Woods,Ghosts of Mississippi,0
1996,Actress in a Leading Role,,Brenda Blethyn,Secrets & Lies,0
1996,Actress in a Leading Role,,Diane Keaton,Marvin's Room,0
1996,Actress in a Leading Role,1,Frances McDormand,Fargo,0
1996,Actress in a Leading Role,,Kristin Scott Thomas,The English Patient,0
1996,Actress in a Leading Role,,Emily Watson,Breaking the Waves,0
1996,Actress in a Supporting Role,,Joan Allen,The Crucible,0
1996,Actress in a Supporting Role,,Lauren Bacall,The Mirror Has Two Faces,0
1996,Actress in a Supporting Role,1,Juliette Binoche,The English Patient,0
1996,Actress in a Supporting Role,,Barbara Hershey,The Portrait of a Lady,0
1996,Actress in a Supporting Role,,Marianne Jean-Baptiste,Secrets & Lies,1
1997,Actor in a Leading Role,,Matt Damon,Good Will Hunting,0
1997,Actor in a Leading Role,,Robert Duvall,The Apostle,0
1997,Actor in a Leading Role,,Peter Fonda,Ulee's Gold,0
1997,Actor in a Leading Role,,Dustin Hoffman,Wag the Dog,0
1997,Actor in a Leading Role,1,Jack Nicholson,As Good as It Gets,0
1997,Actor in a Supporting Role,,Robert Forster,Jackie Brown,0
1997,Actor in a Supporting Role,,Anthony Hopkins,Amistad,0
1997,Actor in a Supporting Role,,Greg Kinnear,As Good as It Gets,0
1997,Actor in a Supporting Role,,Burt Reynolds,Boogie Nights,0
1997,Actor in a Supporting Role,1,Robin Williams,Good Will Hunting,0
1997,Actress in a Leading Role,,Helena Bonham Carter,The Wings of the Dove,0
1997,Actress in a Leading Role,,Julie Christie,Afterglow,0
1997,Actress in a Leading Role,,Judi Dench,Mrs. Brown,0
1997,Actress in a Leading Role,1,Helen Hunt,As Good as It Gets,0
1997,Actress in a Leading Role,,Kate Winslet,Titanic,0
1997,Actress in a Supporting Role,1,Kim Basinger,L.A. Confidential,0
1997,Actress in a Supporting Role,,Joan Cusack,In & Out,0
1997,Actress in a Supporting Role,,Minnie Driver,Good Will Hunting,0
1997,Actress in a Supporting Role,,Julianne Moore,Boogie Nights,0
1997,Actress in a Supporting Role,,Gloria Stuart,Titanic,0
1998,Actor in a Leading Role,1,Roberto Benigni,Life Is Beautiful,0
1998,Actor in a Leading Role,,Tom Hanks,Saving Private Ryan,0
1998,Actor in a Leading Role,,Ian McKellen,Gods and Monsters,0
1998,Actor in a Leading Role,,Nick Nolte,Affliction,0
1998,Actor in a Leading Role,,Edward Norton,American History X,0
1998,Actor in a Supporting Role,1,James Coburn,Affliction,0
1998,Actor in a Supporting Role,,Robert Duvall,A Civil Action,0
1998,Actor in a Supporting Role,,Ed Harris,The Truman Show,0
1998,Actor in a Supporting Role,,Geoffrey Rush,Shakespeare in Love,0
1998,Actor in a Supporting Role,,Billy Bob Thornton,A Simple Plan,0
1998,Actress in a Leading Role,,Cate Blanchett,Elizabeth,0
1998,Actress in a Leading Role,,Fernanda Montenegro,Central Station,1
1998,Actress in a Leading Role,1,Gwyneth Paltrow,Shakespeare in Love,0
1998,Actress in a Leading Role,,Meryl Streep,One True Thing,0
1998,Actress in a Leading Role,,Emily Watson,Hilary and Jackie,0
1998,Actress in a Supporting Role,,Kathy Bates,Primary Colors,0
1998,Actress in a Supporting Role,,Brenda Blethyn,Little Voice,0
1998,Actress in a Supporting Role,1,Judi Dench,Shakespeare in Love,0
1998,Actress in a Supporting Role,,Rachel Griffiths,Hilary and Jackie,0
1998,Actress in a Supporting Role,,Lynn Redgrave,Gods and Monsters,0
1999,Actor in a Leading Role,,Russell Crowe,The Insider,0
1999,Actor in a Leading Role,,Richard Farnsworth,The Straight Story,0
1999,Actor in a Leading Role,,Sean Penn,Sweet and Lowdown,0
1999,Actor in a Leading Role,1,Kevin Spacey,American Beauty,0
1999,Actor in a Leading Role,,Denzel Washington,The Hurricane,1
1999,Actor in a Supporting Role,1,Michael Caine,The Cider House Rules,0
1999,Actor in a Supporting Role,,Tom Cruise,Magnolia,0
1999,Actor in a Supporting Role,,Michael Clarke Duncan,The Green Mile,1
1999,Actor in a Supporting Role,,Jude Law,The Talented Mr. Ripley,0
1999,Actor in a Supporting Role,,Haley Joel Osment,The Sixth Sense,0
1999,Actress in a Leading Role,,Annette Bening,American Beauty,0
1999,Actress in a Leading Role,,Janet McTeer,Tumbleweeds,0
1999,Actress in a Leading Role,,Julianne Moore,The End of the Affair,0
1999,Actress in a Leading Role,,Meryl Streep,Music of the Heart,0
1999,Actress in a Leading Role,1,Hilary Swank,Boys Don't Cry,0
1999,Actress in a Supporting Role,,Toni Collette,The Sixth Sense,0
1999,Actress in a Supporting Role,1,Angelina Jolie,"Girl, Interrupted",0
1999,Actress in a Supporting Role,,Catherine Keener,Being John Malkovich,0
